,tp,fp,fn,cal Precision,cal rappel,fmesure
seuil_moy=0.7,7,2,5,0.777778,0.583333,0.67
seuil_tfc=0.7,10,36,2,0.217391,0.833333,0.35
seuil_disc=0.7,10,76,2,0.116279,0.833333,0.21
seuil_moy=0.8,7,2,5,0.777778,0.583333,0.67
seuil_tfc=0.8,10,13,2,0.434783,0.833333,0.57
seuil_disc=0.8,10,18,2,0.357143,0.833333,0.5
seuil_moy=0.9,6,0,6,1.0,0.5,0.67
seuil_tfc=0.9,9,4,3,0.692308,0.75,0.72
seuil_disc=0.9,9,5,3,0.642857,0.75,0.69
seuil_moy=0.91,6,0,6,1.0,0.5,0.67
seuil_tfc=0.91,9,0,3,1.0,0.75,0.86
seuil_disc=0.91,9,3,3,0.75,0.75,0.75
